"tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender"
128,"2020-12-11 07:42:00.9400","2020-12-11 07:44:09.9060",477,"W 41 St & 8 Ave",40.75640548,-73.9900262,465,"Broadway & W 41 St",40.75513557,-73.98658032,34912,"Subscriber",1987,1
1922,"2020-12-16 06:10:32.2010","2020-12-16 06:42:34.9510",453,"W 22 St & 8 Ave",40.74475148,-73.99915362,2022,"E 60 St & York Ave",40.759107,-73.959223,42286,"Subscriber",1954,1
365,"2020-12-29 07:24:10.3410","2020-12-29 07:30:15.8620",3562,"Classon Ave & St Marks Ave",40.6765198,-73.9596082,83,"Atlantic Ave & Fort Greene Pl",40.68382604,-73.97632328,35644,"Subscriber",1965,1
933,"2020-12-03 15:35:58.6220","2020-12-03 15:51:32.4600",3173,"Riverside Blvd & W 67 St",40.777507027548,-73.9888858795166,173,"Broadway & W 49 St",40.7606832709659,-73.9845272898674,48833,"Customer",1968,2
115,"2020-12-23 18:33:16.9680","2020-12-23 18:35:12.9610",476,"E 31 St & 3 Ave",40.74394314,-73.97966069,472,"E 32 St & Park Ave",40.7457121,-73.98194829,49741,"Subscriber",1971,1
1398,"2020-12-15 10:43:48.0090","2020-12-15 11:07:06.4080",3287,"W 87 St & West End Ave",40.789622,-73.97757,388,"W 26 St & 10 Ave",40.749717753,-74.002950346,47115,"Subscriber",1951,1
972,"2020-12-23 12:54:16.3470","2020-12-23 13:10:28.9780",161,"LaGuardia Pl & W 3 St",40.72917025,-73.99810231,528,"2 Ave & E 31 St",40.74290902,-73.97706058,46856,"Subscriber",1990,1
2332,"2020-12-10 08:32:13.0500","2020-12-10 09:11:05.8010",3896,"Madison St & Seneca Ave",40.70183,-73.90625,3812,"University Pl & E 14 St",40.734814,-73.992085,50051,"Customer",1969,0
798,"2020-12-21 08:52:21.3590","2020-12-21 09:05:40.3480",3170,"W 84 St & Columbus Ave",40.78499979,-73.97283406,3724,"7 Ave & Central Park South",40.7667405590595,-73.9790689945221,49199,"Subscriber",1978,2
393,"2020-12-23 15:18:59.6910","2020-12-23 15:25:32.9020",3156,"E 72 St & York Ave",40.76663814,-73.95348296,3148,"E 84 St & 1 Ave",40.77565541,-73.95068615,34129,"Subscriber",1989,2
