State,Medical School,Men,Women,All,Year,,,,,,,,,,,,
NY,Einstein,87,88,175,3,,,,,,,,,,,,
NY,Mount Sinai-Icahn,71,56,127,3,,,,,,,,,,,,
NY,NYU Long Island-Grossman,8,12,20,3,,,,,,,,,,,,
NY,NYU-Grossman,51,56,107,3,,,,,,,,,,,,
NY,New York Medical,98,120,218,3,,,,,,,,,,,,
NY,Renaissance Stony Brook,73,63,136,3,,,,,,,,,,,,
NY,Rochester,45,61,106,3,,,,,,,,,,,,
NY,SUNY Downstate,99,90,189,3,,,,,,,,,,,,
NY,SUNY Upstate-Norton,76,74,150,3,,,,,,,,,,,,
NY,Zucker Hofstra Northwell,51,45,96,3,,,,,,,,,,,,
OH,Case Western Reserve,107,96,203,3,,,,,,,,,,,,
OH,Cincinnati,80,97,177,3,,,,,,,,,,,,
OH,Northeast Ohio,74,69,143,3,,,,,,,,,,,,
OH,Ohio State,101,97,198,3,,,,,,,,,,,,
OH,Toledo,84,94,178,3,,,,,,,,,,,,
OH,Wright State-Boonshoft,53,66,119,3,,,,,,,,,,,,
OK,Oklahoma,96,72,168,3,,,,,,,,,,,,
OR,Oregon,66,83,149,3,,,,,,,,,,,,
PA,Drexel,122,123,245,3,,,,,,,,,,,,
PA,Geisinger Commonwealth,61,53,114,3,,,,,,,,,,,,
PA,Jefferson-Kimmel,125,133,258,3,,,,,,,,,,,,
PA,Penn State,76,81,157,3,,,,,,,,,,,,
PA,Pennsylvania-Perelman,87,83,170,3,,,,,,,,,,,,
PA,Pittsburgh,69,88,157,3,,,,,,,,,,,,
PA,Temple-Katz,100,107,207,3,,,,,,,,,,,,
PR,Caribe,39,39,78,3,,,,,,,,,,,,
PR,Ponce,50,46,96,3,,,,,,,,,,,,
PR,Puerto Rico,60,45,105,3,,,,,,,,,,,,
PR,San Juan Bautista,16,42,58,3,,,,,,,,,,,,
RI,Brown-Alpert,74,74,148,3,,,,,,,,,,,,
SC,MU South Carolina,84,69,153,3,,,,,,,,,,,,
SC,South Carolina Columbia,48,49,97,3,,,,,,,,,,,,
SC,South Carolina Greenville,35,66,101,3,,,,,,,,,,,,
SD,South Dakota-Sanford,40,24,64,3,,,,,,,,,,,,
TN,East Tennessee-Quillen,28,39,67,3,,,,,,,,,,,,
TN,Meharry,53,63,116,3,,,,,,,,,,,,
TN,Tennessee,97,73,170,3,,,,,,,,,,,,
TN,Vanderbilt,50,49,99,3,,,,,,,,,,,,
TX,Baylor,77,93,170,3,,,,,,,,,,,,
